Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-03-08 11:59:00,25,Sivasspor,Galatasaray,0,2,2,2.55,3.6,2.55,2019-2020,Galatasaray,Sivasspor,3-2,8
2020-03-08 09:00:00,25,Caykur Rizespor,Alanyaspor,0,1,1,2.75,3.4,2.45,2019-2020,Alanyaspor,Caykur Rizespor,5-2,8
2020-03-08 06:30:00,25,Kasimpasa,Kayserispor,1,5,1,1.72,4.0,4.2,2019-2020,Kayserispor,Kasimpasa,1-1,8
2020-03-07 13:00:00,25,Fenerbahce,Denizlispor,0,2,2,1.4,4.75,7.0,2019-2020,Denizlispor,Fenerbahce,1-2,8
2020-03-07 10:00:00,25,Gazisehir Gaziantep,Trabzonspor,0,1,1,3.5,3.6,2.0,2019-2020,Trabzonspor,Gazisehir Gaziantep,4-1,8
2020-03-07 10:00:00,25,Goztepe,Istanbul Basaksehir,2,0,3,2.75,3.2,2.62,2019-2020,Istanbul Basaksehir,Goztepe,2-1,8
2020-03-07 07:00:00,25,Yeni Malatyaspor,Konyaspor,0,1,1,2.37,3.25,3.0,2019-2020,Konyaspor,Yeni Malatyaspor,0-2,8
2020-03-06 13:00:00,25,Besiktas JK,Ankaragucu,1,2,1,1.28,5.75,9.0,2019-2020,Ankaragucu,Besiktas JK,0-0,8
2020-03-02 13:00:00,24,Kayserispor,Goztepe,1,1,0,3.1,3.3,2.3,2019-2020,Goztepe,Kayserispor,4-0,7
2020-03-02 13:00:00,24,Istanbul Basaksehir,Gazisehir Gaziantep,1,3,1,1.4,4.5,8.0,2019-2020,Gazisehir Gaziantep,Istanbul Basaksehir,1-2,7
2020-03-01 11:59:00,24,Galatasaray,Genclerbirligi,1,3,0,1.33,5.0,9.0,2019-2020,Genclerbirligi,Galatasaray,0-0,7
2020-03-01 09:00:00,24,Ankaragucu,Sivasspor,2,0,3,4.0,3.75,1.83,2019-2020,Sivasspor,Ankaragucu,3-1,7
2020-03-01 06:30:00,24,Denizlispor,Yeni Malatyaspor,1,2,0,2.62,3.25,2.62,2019-2020,Yeni Malatyaspor,Denizlispor,5-1,7
2020-02-29 13:00:00,24,Antalyaspor,Fenerbahce,0,2,2,4.75,4.0,1.66,2019-2020,Fenerbahce,Antalyaspor,0-1,7
2020-02-29 10:00:00,24,Trabzonspor,Caykur Rizespor,1,5,2,1.44,4.5,6.5,2019-2020,Caykur Rizespor,Trabzonspor,1-2,7
2020-02-29 07:00:00,24,Konyaspor,Kasimpasa,0,0,0,2.0,3.5,3.6,2019-2020,Kasimpasa,Konyaspor,1-4,7
2020-02-28 13:00:00,24,Alanyaspor,Besiktas JK,2,1,2,2.25,3.4,3.1,2019-2020,Besiktas JK,Alanyaspor,2-0,7
2020-02-24 13:00:00,23,Caykur Rizespor,Istanbul Basaksehir,2,1,2,4.0,3.4,1.9,2019-2020,Istanbul Basaksehir,Caykur Rizespor,5-0,6
2020-02-24 13:00:00,23,Kasimpasa,Denizlispor,1,2,0,2.0,3.5,3.6,2019-2020,Denizlispor,Kasimpasa,0-1,6
2020-02-23 11:59:00,23,Fenerbahce,Galatasaray,2,1,3,2.0,3.6,3.5,2019-2020,Galatasaray,Fenerbahce,0-0,6
2020-02-23 09:00:00,23,Genclerbirligi,Ankaragucu,1,1,0,1.72,3.6,4.75,2019-2020,Ankaragucu,Genclerbirligi,2-1,6
2020-02-23 06:30:00,23,Yeni Malatyaspor,Antalyaspor,2,1,2,1.8,3.5,4.5,2019-2020,Antalyaspor,Yeni Malatyaspor,3-0,6
2020-02-22 13:00:00,23,Besiktas JK,Trabzonspor,0,2,2,2.15,3.75,3.1,2019-2020,Trabzonspor,Besiktas JK,4-1,6
2020-02-22 10:00:00,23,Goztepe,Gazisehir Gaziantep,0,1,1,1.72,3.75,4.5,2019-2020,Gazisehir Gaziantep,Goztepe,1-1,6
2020-02-22 07:00:00,23,Kayserispor,Konyaspor,0,2,2,2.7,3.25,2.6,2019-2020,Konyaspor,Kayserispor,2-1,6
2020-02-21 13:00:00,23,Sivasspor,Alanyaspor,1,1,0,2.15,3.5,3.2,2019-2020,Alanyaspor,Sivasspor,1-1,6
2020-02-17 13:00:00,22,Gazisehir Gaziantep,Caykur Rizespor,1,2,0,1.95,3.75,3.5,2019-2020,Caykur Rizespor,Gazisehir Gaziantep,1-2,5
2020-02-17 13:00:00,22,Antalyaspor,Kasimpasa,1,3,1,2.15,3.75,3.0,2019-2020,Kasimpasa,Antalyaspor,3-0,5
2020-02-16 11:59:00,22,Galatasaray,Yeni Malatyaspor,1,1,0,1.25,5.5,12.0,2019-2020,Yeni Malatyaspor,Galatasaray,1-1,5
2020-02-16 09:00:00,22,Trabzonspor,Sivasspor,1,2,1,1.66,4.0,4.75,2019-2020,Sivasspor,Trabzonspor,2-1,5
2020-02-16 06:30:00,22,Alanyaspor,Genclerbirligi,2,0,1,1.44,4.33,7.0,2019-2020,Genclerbirligi,Alanyaspor,1-1,5
2020-02-15 13:00:00,22,Ankaragucu,Fenerbahce,1,2,1,8.0,4.0,1.44,2019-2020,Fenerbahce,Ankaragucu,2-1,5
2020-02-15 10:00:00,22,Konyaspor,Goztepe,2,1,3,2.5,3.1,2.9,2019-2020,Goztepe,Konyaspor,1-0,5
2020-02-15 07:00:00,22,Denizlispor,Kayserispor,2,0,1,1.83,3.5,4.33,2019-2020,Kayserispor,Denizlispor,1-1,5
2020-02-14 13:00:00,22,Istanbul Basaksehir,Besiktas JK,1,1,0,2.1,3.25,3.5,2019-2020,Besiktas JK,Istanbul Basaksehir,1-1,5
2020-03-17 13:00:00,21,Goztepe,Caykur Rizespor,1,2,0,1.72,3.7,4.1,2019-2020,Caykur Rizespor,Goztepe,0-0,4
2020-02-09 11:59:00,21,Kasimpasa,Galatasaray,2,0,3,6.25,4.2,1.5,2019-2020,Galatasaray,Kasimpasa,1-0,4
2020-02-09 09:00:00,21,Sivasspor,Istanbul Basaksehir,0,1,1,2.5,3.4,2.7,2019-2020,Istanbul Basaksehir,Sivasspor,1-1,4
2020-02-09 06:30:00,21,Kayserispor,Antalyaspor,0,2,2,2.7,3.3,2.55,2019-2020,Antalyaspor,Kayserispor,2-2,4
2020-02-08 13:00:00,21,Fenerbahce,Alanyaspor,0,1,1,1.83,3.75,4.0,2019-2020,Alanyaspor,Fenerbahce,3-1,4
2020-02-08 10:00:00,21,Genclerbirligi,Trabzonspor,2,0,2,3.8,3.8,1.85,2019-2020,Trabzonspor,Genclerbirligi,2-2,4
2020-02-08 10:00:00,21,Besiktas JK,Gazisehir Gaziantep,1,3,0,1.33,5.25,8.0,2019-2020,Gazisehir Gaziantep,Besiktas JK,3-2,4
2020-02-08 07:00:00,21,Konyaspor,Denizlispor,0,0,0,1.9,3.3,4.2,2019-2020,Denizlispor,Konyaspor,0-1,4
2020-02-07 13:00:00,21,Yeni Malatyaspor,Ankaragucu,2,0,1,1.44,4.2,7.5,2019-2020,Ankaragucu,Yeni Malatyaspor,0-4,4
2020-02-03 13:00:00,20,Denizlispor,Goztepe,0,1,1,3.0,3.4,2.3,2019-2020,Goztepe,Denizlispor,0-0,3
2020-02-02 11:59:00,20,Galatasaray,Kayserispor,1,4,1,1.1,10.0,19.0,2019-2020,Kayserispor,Galatasaray,2-3,3
2020-02-02 09:00:00,20,Alanyaspor,Yeni Malatyaspor,1,2,1,1.55,4.33,5.25,2019-2020,Yeni Malatyaspor,Alanyaspor,2-3,3
2020-02-02 09:00:00,20,Gazisehir Gaziantep,Sivasspor,1,5,1,3.4,3.75,2.0,2019-2020,Sivasspor,Gazisehir Gaziantep,1-1,3
2020-02-02 06:30:00,20,Ankaragucu,Kasimpasa,0,1,1,2.75,3.6,2.37,2019-2020,Kasimpasa,Ankaragucu,0-1,3
2020-02-01 13:00:00,20,Trabzonspor,Fenerbahce,1,2,1,2.37,3.75,2.62,2019-2020,Fenerbahce,Trabzonspor,1-1,3
2020-02-01 10:00:00,20,Caykur Rizespor,Besiktas JK,2,1,2,3.5,3.6,2.0,2019-2020,Besiktas JK,Caykur Rizespor,1-1,3
2020-02-01 07:00:00,20,Antalyaspor,Konyaspor,0,0,0,2.37,3.2,3.1,2019-2020,Konyaspor,Antalyaspor,2-2,3
