Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-02-15 13:30:00,22,Fortuna Dusseldorf,Borussia M'gladbach,2,1,4,4.0,3.8,1.8,2019-2020,Borussia Monchengladbach,Fortuna Dusseldorf,2-1,5
2020-02-15 10:30:00,22,Augsburg,Freiburg,0,1,1,2.0,3.75,3.4,2019-2020,SC Freiburg,Augsburg,1-1,5
2020-02-15 10:30:00,22,Hoffenheim,Wolfsburg,2,2,3,2.37,3.5,2.8,2019-2020,VfL Wolfsburg,TSG Hoffenheim,1-1,5
2020-02-15 10:30:00,22,RB Leipzig,Werder Bremen,1,3,0,1.25,6.5,9.5,2019-2020,Werder Bremen,RB Leipzig,0-3,5
2020-02-15 10:30:00,22,SC Paderborn 07,Hertha Berlin,2,1,2,2.9,3.6,2.25,2019-2020,Hertha Berlin,SC Paderborn 07,2-1,5
2020-02-15 10:30:00,22,Union Berlin,Bayer Leverkusen,2,2,3,3.8,3.75,1.85,2019-2020,Bayer Leverkusen,Union Berlin,2-0,5
2020-02-14 15:30:00,22,Borussia Dortmund,Eintracht Frankfurt,1,4,0,1.3,5.75,8.0,2019-2020,Eintracht Frankfurt,Borussia Dortmund,2-2,5
2020-03-11 13:30:00,21,Borussia M'gladbach,FC Cologne,1,2,1,1.65,4.2,4.5,2019-2020,FC Koln,Borussia Monchengladbach,0-1,4
2020-02-09 13:00:00,21,Bayern Munchen,RB Leipzig,0,0,0,1.44,4.75,6.0,2019-2020,RB Leipzig,Bayern Munchen,1-1,4
2020-02-08 13:30:00,21,Bayer Leverkusen,Borussia Dortmund,1,4,3,2.75,3.75,2.3,2019-2020,Borussia Dortmund,Bayer Leverkusen,4-0,4
2020-02-08 10:30:00,21,Freiburg,Hoffenheim,1,1,0,2.5,3.4,2.7,2019-2020,TSG Hoffenheim,SC Freiburg,0-3,4
